Signature(SHA256),Analysis Time(seconds),Node Processing Time(seconds), Order |V|, Size (|E|)
825d84edff4b9fffac7fd9a33df33c87b5d07993ada881f451c1efef4a206c88,8.51,0.1,73,94
827baf5be98a693f923c055ba9950ec3437a244abb9bd0a4e794add298bff087,7.23,0.13,160,240
834c5f094c4a2db0f520962341b108af685efd346e5b6622eb2331b3ffa09039,26.29,1.31,8583,13056
854e5f77f788bbbe6e224195e115c749172cd12302afca370d4f9e3d53d005fd,41.37,1.69,7234,10306
85a18f6e3b67c2ebfa27e559515140171348085a4929f95531df15edccd3c4d8,198.96,1.13,1455,2202
86b421d47957716217c6aa646402f2a85fb7b1cc2eb988e22102d5a2b2af38d4,135.1,5.98,42458,63521
871b245bd87dbb3ed064e9e42522dcb7dee8d80b9463f8ee4bcf9da184dd5e87,233.88,23.68,189943,296122
8767e67f5b58e66a4ce4ddc934797d55481432b7f0d80815a8f7c040c38187ad,59.46,3.2,19940,29706
87b4020bcd3fad1f5711e6801ca269ef5852256eeaf350f4dde2dc46c576262d,137.37,6.3,42359,63379
88169b1d4778ed6c5fda97375efb5b9171ea52649c8715bb449801c39bce4ad4,18.4,1.08,6371,9315
